@RELATION fitness

@ATTRIBUTE attribute_predictions STRING
@ATTRIBUTE objectsFound STRING
@ATTRIBUTE class {fitness}

@DATA
"no horizon, enclosed area, man-made, indoor lighting, cloth, competing, exercise, glossy, sports","locker_room",fitness
"no horizon, man-made, enclosed area, competing, exercise, sports, metal, cloth, indoor lighting","gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, cloth, competing, sports, exercise, natural light, training","?",fitness
"no horizon, man-made, cloth, natural light, dry, dirt, open area, enclosed area, indoor lighting","arena/rodeo",fitness
"natural light, foliage, vegetation, open area, leaves, no horizon, trees, shrubbery, grass","rope_bridge",fitness
"man-made, no horizon, metal, natural light, enclosed area, working, open area, cloth, competing","gymnasium/indoor",fitness
"man-made, no horizon, enclosed area, natural light, metal, cloth, glass, vertical components, glossy","gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, cloth, metal, glass, working, natural light, wood","?",fitness
"no horizon, man-made, enclosed area, metal, cloth, working, using tools, natural light, rusty","engine_room, jail_cell",fitness
"no horizon, enclosed area, man-made, cloth, competing, indoor lighting, carpet, exercise, sports","?",fitness
"enclosed area, no horizon, man-made, indoor lighting, working, glossy, metal, cloth, exercise","gymnasium/indoor",fitness
"no horizon, enclosed area, man-made, cloth, glass, natural light, glossy, reading, wood","bow_window/indoor",fitness
"no horizon, enclosed area, man-made, cloth, glossy, indoor lighting, competing, exercise, matte","gymnasium/indoor, beauty_salon",fitness
"no horizon, enclosed area, man-made, indoor lighting, cloth, working, metal, stressful, using tools","locker_room",fitness
"no horizon, man-made, enclosed area, cloth, metal, working, competing, exercise, indoor lighting","gymnasium/indoor",fitness
"man-made, enclosed area, no horizon, metal, glossy, working, natural light, indoor lighting, cloth","gymnasium/indoor",fitness
"natural light, open area, grass, trees, vegetation, foliage, man-made, leaves, sunny","rice_paddy",fitness
"enclosed area, no horizon, man-made, indoor lighting, cloth, working, metal, glossy, competing","gymnasium/indoor",fitness
"natural light, man-made, open area, no horizon, transporting, driving, glossy, metal, asphalt","raceway",fitness
"natural light, open area, no horizon, natural, man-made, moist, sunny, swimming, competing","underwater/ocean_deep",fitness
"no horizon, enclosed area, man-made, cloth, working, metal, using tools, stressful, indoor lighting","gymnasium/indoor",fitness
"man-made, no horizon, natural light, wood, open area, cloth, fencing, vertical components, aged","barndoor",fitness
"enclosed area, no horizon, man-made, indoor lighting, working, metal, cloth, glossy, exercise","gymnasium/indoor",fitness
"man-made, no horizon, enclosed area, natural light, working, open area, cloth, metal, competing","beauty_salon, gymnasium/indoor",fitness
"no horizon, man-made, natural light, enclosed area, cloth, competing, dry, exercise, sports","sandbox",fitness
